metodo,variavel,n,KS_stat,KS_pvalue,sd_real,sd_imputado,sd_ratio,preserva_dist_5pct
mediana_global,OD,37,0.7837837837837838,1.726271215776404e-11,3.123520670874675,1.8008594705238024e-15,5.765479599081732e-16,False
mediana_global,Nitrato,43,0.6744186046511628,1.3674740840647012e-09,0.1448801391031006,3.51050692498035e-18,2.4230422104179364e-17,False
mediana_global,Nitrogênio Amoniacal Total,40,0.7,1.1207926208881015e-09,2.5812713524292246,4.49746625312238e-16,1.7423453946017074e-16,False
mediana_global,Fósforo Total,32,0.75,4.8304125970134264e-09,214.2094414575981,0.0,0.0,False
mediana_global,Condutividade,41,0.5853658536585366,7.629377009013217e-07,15614.87313390041,1.841586411621082e-12,1.1793796823253956e-16,False
mediana_global,pH,53,0.5094339622641509,1.2662858968090528e-06,0.6731963485176333,8.966779283803593e-16,1.3319708735123541e-15,False
mediana_global,Turbidez,54,0.6296296296296297,2.3617729712556523e-10,165.75048746514622,0.0,0.0,False
mediana_global,Temperatura da Água,47,0.574468085106383,1.6622258026868568e-07,3.5318885624777763,0.0,0.0,False
mediana_global,Sólidos Suspensos Totais,10,0.7,0.012340600575894691,29.600300298777,0.0,0.0,False
ffill_estacao,DBO,43,0.16279069767441862,0.6249070014938026,11.764887093712211,11.74439648200227,0.9982583248316176,True
ffill_estacao,OD,37,0.10810810810810811,0.9845599548024895,3.123520670874675,3.563086525133173,1.140727691786143,True
ffill_estacao,Nitrato,43,0.23255813953488372,0.19651637509985442,0.1448801391031006,0.16090345701886008,1.1105970633031823,True
ffill_estacao,Nitrogênio Amoniacal Total,40,0.225,0.2656871402817289,2.5812713524292246,2.861632087660503,1.1086134299547517,True
ffill_estacao,Fósforo Total,32,0.125,0.9682898378649185,214.2094414575981,0.3906879787940673,0.0018238597520987534,True
ffill_estacao,Condutividade,41,0.07317073170731707,0.9999427584427157,15614.87313390041,15806.30433117609,1.0122595422731984,True
ffill_estacao,pH,53,0.18867924528301888,0.30419545649146373,0.6731963485176333,0.6169353420379178,0.9164270474675014,True
ffill_estacao,Turbidez,54,0.12962962962962962,0.7597078706434061,165.75048746514622,122.92059505757435,0.7416002024333227,True
ffill_estacao,Temperatura da Água,47,0.2127659574468085,0.23948273073074702,3.5318885624777763,3.1201991800555375,0.8834364745264158,True
ffill_estacao,Sólidos Suspensos Totais,10,0.3,0.7869297884777761,29.600300298777,30.245109797563423,1.021783883686243,True
