metodo,variavel,seed,miss_rate,n_avaliado,RMSE,MAE,RMSE_norm,MAE_norm
media_global,Turbidez,42,0.2,22,189.668108392203,65.91686017352623,0.3619978380867034,0.2844023506652865
media_global,Temperatura da Água,42,0.2,20,3.967916834627196,3.7300000000000013,0.3967916834627196,0.37299999999999994
media_global,Sólidos Suspensos Totais,42,0.2,4,20.885117280503774,19.250000000000004,0.23291233773337497,0.21258349425490375
media_global,DBO,7,0.2,14,7.137054356659587,5.627142857142859,0.2909379233776712,0.1872583680110473
media_global,OD,7,0.2,13,3.9749585474483653,3.212132550741391,0.3555717981131314,0.31323469566653217
media_global,Nitrato,7,0.2,21,0.1346971448774444,0.06306122700849823,0.5667344229047935,0.4794921566374597
media_global,Nitrogênio Amoniacal Total,7,0.2,13,2.8360410588318197,2.58503000499864,0.4676026715543538,0.3754697132451292
media_global,Fósforo Total,7,0.2,9,0.4469673091763537,0.3820424336878892,0.093018135841248,0.08459906078483478
media_global,Condutividade,7,0.2,11,17700.862142339698,14430.11254651781,0.5515318172349878,0.4496202575720636
media_global,pH,7,0.2,16,0.7523364793065375,0.6115206692913384,0.33437176858068335,0.2717869641294838
media_global,Turbidez,7,0.2,18,36.70063383782782,20.75654060857746,0.2541527183257983,0.2044621675932908
media_global,Temperatura da Água,7,0.2,15,2.853873778470949,2.4670791749833665,0.2853873778470949,0.24670791749833665
media_global,Sólidos Suspensos Totais,7,0.2,5,36.85670721695211,36.12547134920838,0.33371055858266735,0.3311315396564093
media_global,DBO,2026,0.2,13,8.281533195675367,6.45149014503193,0.25821054127173343,0.1800934703658662
media_global,OD,2026,0.2,14,4.330121209748068,3.8170344361732402,0.4006073320082102,0.37381684622760664
media_global,Nitrato,2026,0.2,11,0.1365396415301088,0.07220779701622387,0.5908214786818483,0.5089221929519283
media_global,Nitrogênio Amoniacal Total,2026,0.2,10,2.6392152806456783,2.200765961010613,0.5303880079701293,0.41292085518857674
media_global,Fósforo Total,2026,0.2,9,0.5053183664179224,0.36473622068557154,0.09782945923551804,0.08612668039769258
media_global,Condutividade,2026,0.2,12,13612.65495104826,11006.42066276803,0.42414952798181155,0.34294324991487607
media_global,pH,2026,0.2,15,0.5830884608367527,0.49376115485564315,0.2591504270385567,0.21944940215806355
media_global,Turbidez,2026,0.2,14,233.8544773224225,82.33039013634205,0.3557434559834123,0.2746251899014777
media_global,Temperatura da Água,2026,0.2,12,3.563278989015198,2.99479374584165,0.3563278989015196,0.2994793745841649
media_global,Sólidos Suspensos Totais,2026,0.2,1,48.54245224868062,48.54245224868062,0.3919348282817056,0.3919348282817056
mediana_global,DBO,42,0.2,16,16.657167376237762,8.353749999999994,0.2656199511377962,0.18399834359097342
mediana_global,OD,42,0.2,10,3.6670151349564946,3.21,0.3430731072389542,0.31268032654020184
mediana_global,Nitrato,42,0.2,11,0.2245196893572831,0.1409090909090909,0.7651023898602813,0.6856013277661542
